name,interests
Asma Javed,"Obesity, polycystic ovary syndrome, female athlete triad"
James Howard,"Facial Pain. TMJ, TMD, Growth and Development"
Douglas Bridges,"Constructive mathematics, mathematical economics"
Michele Rorato Sagrillo,Nanotoxicologia
Jean-Paul Doignon,
Bryan Reimer,"Driving Safety, Driver Attention, Vehicle Automation, ADAS"
Trent Victor,"automotive safety, automation, human factors"
Mauricio D√≠az Mu√±oz,"Hepatology, metabilism, oxidative stress"
Alex Friedman,"plasmas, particle beams, computer simulation"
Jean-Paul Doignon,
Milo≈° Stojakoviƒá,"positional games, computational geometry, combinatorial algorithms, discrete random structures"
Mirjana Mikalaƒçki,"positional games on graphs, graph theory"
Bruce Mehler,"human factors, psychophysiology, workload, stress, driving"
Yury Kartynnik,"Graph Theory, Discrete Mathematics, Computational Complexity, Machine Perception"
Andrew Ryzhikov,"automata theory, logic, verification, matrix theory, graph theory"
Stefan Felsner,"graph theory, discrete geometry, ordered sets"
Slawomir Lasota,"automata theory, concurrency theory, program verification"
Daniel Heldt,fail
Patrick Totzke,"Verification, Games, Automata"
Andrzej Pelc,"Algorithms, Distributed Computing"
Caroline Palmer,"auditory cognitive neuroscience, sequence learning, sensorimotor integration"
Steffen Wendzel,"Covert Channels, Information Hiding, Internet Censorship, Censorship Circumvention, Bibliometrics"
hamed kameli,"Cosmology, Structure formation and Gravitational wave"
Radu Iliescu, Condensates
Anders M√∂rtberg,
Herman Z. Q. Chen,fail
Jean-Bernard Hayet,"Mobile robotics, computer vision"
Lawrence Dunn,"type theory, category theory"
Matthieu Josuat-Verg√®s,fail
Prof. Dr. Harald Richter,"parallel real-time computers, real-time computer networks, cloud computing, in-car communication"
Antoine Mottet,"universal algebra, model theory, discrete mathematics, complexity theory, constraint satisfaction"
Mordechai Shalom,"Approximation Algorithms, On-line Algorithms, Graph Algorithms, Matching"
Arman Boyacƒ±,
nadine frances,neuroscience
Gorkem Polat,"Machine Learning, Deep Learning, Image Processing"
Jonathan Bloom, The Open University"
Valentin Blot,fail
Altan Ko√ßyiƒüit,"Computer Networks, Software Engineering, Big Data, Machine Learning, Internet of Things"
C√©line Moreira Dos Santos,fail
Rubens Sucupira,fail
Michael S. Payne,"Discrete Geometry, Graph Theory"
Andrew V.  Knyazev,"HPC, ML, Control, Quantum, Photonics"
Noam Solomon,"Combinatorial Geometry, Machine Learning, Number Theory, Combinatorics, Bioinformatics"
Wei Wang,"Genetics, Public Health, Genomics, Glycomics"
Alexander Malyshev,
Alptekin Temizel,"video surveillance, computer vision, machine learning, deep learning, GPU programming"
Ran Pan,Economics of Information Systems
Jun-Yan Zhu,"Computer Vision, Computer Graphics, Generative Models, Computational Photography"
Derek E. Bambauer,"Intellectual property, Internet, cybersecurity, censorship, algorithms / AI"
Peter Nugent, Astronomy
Florin Manea,Theoretical Computer Science
Julian Hohm,fail
Alice LL Gao,
S. R. Kodituwakku,fail
Erik P De Vink,fail
Emily X. L. Gao,fail
Patxi Laborde-Zubieta,fail
Philip Mosier,"Structural Biology, Molecular Modeling, G Protein-Coupled Receptors (GPCRs), Glycosaminoglycans (GAGs), Influenza"
Hugo Nobrega,"set theory, logic, descriptive set theory, computability theory, graph theory"
Dr. Michael A. Idowu,"Computer Science, AI/ML/Blockchain, M365/Azure/Docker/Container, Animation, Mathematics and Quantitative Finance"
Sohini Roychowdhury,"Image Processing, Signal Processing, Machine Learning, Complex Networks"
S√∏ren Debois,"Privacy, Digitalisation, Business Process Modelling"
Thomas Hildebrandt,Wildlife Reproduction
Quang T. Bach,fail
Tijs Slaats,"Computer Science, Business Process Management"
Martin Lackner,"Artificial Intelligence, Computational Social Choice"
Michelle Emmons,fail
Michael H. Albert,fail
Marie-Louise Lackner,fail
Dmitry Chistikov,fail
Michael W. Schroeder,fail
Dan Saracino,fail
Janusz Brzozowski,fail
Bo Yang Victor Liu,fail
Sylvia Jebiwott,"Microbiology, infectious diseases"
Andreas Heinemann-Gr√ºder,
Sylvie Corteel,fail
Mahsa Shirmohammadi,STEM teaching
Michael Weselcouch,fail
Carla D. Savage,"algorithms, combinatorics"
Joshua Cooper,"Spectral Graph and Hypergraph Theory, Extremal/Probabilistic Combinatorics, Combinatorial Patterns, Quasirandomness, Machine Lea"
Yen-Da Chen (Èô≥ÂΩ•ÈÅ?,
limin jia,
HAO XU,
Wenchao Zhou,Biology
Jay Pantone,Combinatorics
Robin Houston,fail
Shunqi Wu,fail
Cheng Luo,fail
Mingyun Li,fail
Leonardo Nagami Coregliano,fail
Josefran de Oliveira Bastos,fail
Jeremy Kepner,"high performance computing, supercomputing, signal processing, matlab, graph algorithms"
Thomas Sternagel,fail
ML Tlachac,fail
Aydƒ±n Bulu√ß,"Parallel computing, graph algorithms, combinatorial scientific computing, sparse linear algebra, high-performance computing"
Timothy G Mattson,"Parallel Computing, OpenMP, OpenCL, Graphs as Linear Algebra, Polystore DBMS"
David Bader,fail
"John V. Moran, Ph.D.", Retrotransposon
Sadegh Esmaeil Zadeh Soudjani,fail
Alexander Wiesmaier,"Cyber Security, Applied Cryptography, Long-Term Security / Resilience, Crypto-Agility, PQC Migration"
Kitty Meeks,Algorithms - Graph Theory - Parameterised ‚Ä?
Henning Meyerhenke,"Scalable graph algorithms, algorithmic network analysis, combinatorial scientific computing"
Dominik K. Vu,fail
Andrew M. Brown,Structural Dynamics
Clemens Roider,
Romain Brenguier,
Catherine Meadows,"formal methods, cryptographic protocols, security procedures"
Russ Harmer,"graph transformation, rule-based modelling, game semantics"
Bj√∂rn Victor,"Computer Science, Concurrency theory"
David DeWitt, Rutgers
Stephen DeSalvo,"Combinatorial Probability, Stein's method, exact sampling"
Gordon Bailey,fail
Mario Bonja,fail
Pascal Potvin,"Machine Learning, Artificial Intelligence, Genetic Programming, Cloud Architecture, Domain Specific Languages"
Pierre Busnel,"Fiber Optic Gyroscopes, Finite Element Method, Homogenization"
Sebastien Tixeuil,"Distributed Computing, Computer Networks, Algorithms & Theory"
Fathiyeh Faghih,fail
Mark T Muller,epigenetics
Sandeep Kulkarni,"Cloud Computing, Fault-Tolerance, Distributed Systems, Formal Methods, Program Repair"
Jie Xu,"Wireless Communications, Wireless Power Transfer, UAV, Integrated Sensing and Communication, Edge AI"
Marcin Lewicki,"e-commerce, consumer behaviour, value for the consumer"
Daniel E. Ho,"Regulatory policy, artificial intelligence, administrative law, antidiscrimination"
Atul Laxman Katole,fail
Juan Jes√∫s Garc√≠a Dom√≠nguez,"Sensory systems, Independent living, Healthy aging, Frailty, Biomedical Signal Processing"
Daniel M. Roy,fail
Krishna Prasad Yellapragada,"Image Processing, Computer Vision, Robotics"
Sehaj Singh Kalra,fail
Amish Kumar Bedi,fail
Siva Chaitanya Mynepalli,
Leonardo Israel Farfan Cabrera,"Tribology, Mechanical Engineering, Automotive Engineering"
Tomasz Kajdanowicz,"Data Science, Machine Learning, Representation Learning"
Dierk Schleicher,fail
Tadeja Kraner ≈†umenjak,fail
Aleksandra Tepeh,"Mathematics, Graph Theory"
Boon Thau Loo,"Databases, networking, distributed systems, programming languages"
Arnaud Lefebvre,fail
C√©cilia Lancien,"Random matrices and tensors, Asymptotic geometric analysis, Quantum information theory"
Elise Prieur-Gaston,
Ruixia Wang,fail
Morten M√∏rup,"Machine Learning, Neuroimaging, Complex Networks, Bayesian Modeling"
Tue Herlau,Machine Learning
Mikkel N. Schmidt,"Machine learning, Statistics, Source separation, Bayesian statistics"
Jessica Enright,"Graph algorithms, epidemiology, parameterised complexity, agriculture"
Reza Naserasr,fail
Robin Stoll,fail
Lorna Stewart,fail
Petru Valicov,fail
George B. Mertzios,"Algorithms, Computational Complexity, Graph Theory"
Gaelle Fontaine,"Reaction and resistance to fire, reactive extrusion"
Anthony Widjaja Lin, automated reasoning
Souha Ben Rayana,"compositional verification, formal methods, verification, timed automata, real-time systems"
Nicolas Vogel,"Colloids, self-assembly, crystallization, wetting, structural color"
Saddek Bensalem,fail
Jacques Combaz,
Mark Lee, security
Petr Kolman,"approximation algorithms, theoretical computer science, optimization"
Muasaad Alrasheedi,fail
Arif Raza,fail
Piotr Br√≥dka,fail
Hans Raj Tiwary,fail
Bedon Nicolas,fail
Silvio Capobianco,"Cellular automata, Theoretical computer science, Topological dynamics, Discrete mathematics"
Joao Guimaraes da Costa,
Thierry Lecroq,"Computer Science, Bioinformatics, Algorithms on strings"
Siamak Taati,fail
Irini-Eleftheria Mens,"theoretical computer science, automata theory, machine learning, formal methods"
M. Zeitoun,fail
Mikl√≥s B√≥na,fail
Oded Maler,"Embedded systems, verification, hybrid systems, theoretical  computer science, systems biology"
Tomasz Kociumaka,fail
Chong Teik Tan,"Oncology, Liver diseases, Cell signalling, Protein homeostasis and dysregulation"
Gordon Hoi,fail
Elie M. Adam,fail
Daniel Turetsky,fail
Munther A. Dahleh,fail
Asuman Ozdaglar,"Optimization and Game Theory, Machine Learning, Economic and Social Networks"
George Chatzieleftheriou,"Formal Methods, Model Checking"
Scott  A. Smolka,"Model Checking, Runtime Verification, Computational Biology"
Zeyao Yang,fail
Lacramioara Astefanoaei,fail
Saravana Kumar SG,"Artificial Intelligence, IOT, Distributed Computing, NoSQL, Robotics"
A. Balamurugan @ AMBallamurugan,Biomaterials
Panagiotis Katsaros,fail
Vladimir Filipovic,fail
willem fouche,"Computational Complexity, Fractal geometry, Ramsey theory"
Vijaykumar S.,fail
Janusz Sobecki,"human-computer interaction, eye tracking, multimedia, recommendation systems"
Laurent Bienvenu,fail
alexander shen,"Kolmogorov complexity, algorithmic randomness"
Damien Desfontaines,Differential privacy
Albert Rubio,"Programming Languages, Compilers, Program Analysis, Constraint Solving, Blockchain"
Hyewon Seo,Computer graphics
Jean-Pierre Jouannaud,"Rewriting, Symbolic constraints, Type Theory"
Marco Gario,"Artificial Intelligence, Formal Methods, Diagnosis"
Stefano Tonetta,fail
Dorota Kuziak,Graph Theory
Klaus Dr√§ger,"Formal models, verification, automata theory, logic"
Juliana Almeida da Silva,"Farmacologia, Neuroci√™ncias, Neuropsicofarmacologia"
Vojtƒõch Forejt,verification
Jose Luiz Fiadeiro,fail
David Parker,
Peter Dybjer,"Logic and semantics of programs, type theory, proof assistents"
Mateusz Ujma,Probabilistic Model Checking
Francesco Ranzato,Computer Science
JB Klemp,Atmospheric Sciences
Kira  Adaricheva,"Algebra, Combinatorics, Geometry, Artificial Intelligence, Data Analysis"
Daniel Graziotin,"Behavioral software engineering, Empirical software engineering, Information Systems"
Ryuta Arisaka,reasoning
Artur Czumaj,"Theoretical Computer Science, Algorithms, Data structures, Discrete Mathematics"
Xiaofeng Wang,fail
Dragan Matic,"Combinatorial optimization, Bioinformatics, eLearning"
Jozef Kratica,"Computer Science, Metaheuristics, Operations Research, Discrete Mathematics"
Peter Davies,fail
Gunnar Wilken,fail
Marco Rondina,"artificial intelligence, machine learning, algorithmic fairness"
Matthias Baaz,fail
Andreas Weiermann,fail
Agata Ciabattoni,
Zi-Ke Zhang,"Complexity Sciences, Computational Communication, Computational Social Science, Recommender Systems, Information Spreading"
Christian G Ferm√ºller,fail
Enrico Tassi,fail
Tao Zhou,"networks, human dynamics, recommendation, prediction"
Claudio Sacerdoti Coen,"Interactive Theorem Proving, Mathematical Knowledge Management"
Adolfo Tanzi Neto,Educa√ß√£o e Linguagem e Tecnologias ‚Ä?
Relinde Jurrius,fail
Celso A. A. Kaestner,fail
Paul Potgieter,"Fourier analysis, complexity theory"
Gavin Lowe,fail
Freek Wiedijk,fail
Martin Huschenbett,fail
Yu-Qi Feng,"chromatography, sample preparation, LC-MS methods"
Ionut Tutu,fail
Fotini Markopoulou,fail
Mohammad A. Al-Khedher,fail
K MUNIVARA PRASAD,"Network Security, Cyber Security, Intrusion detection system"
A Rama Mohan Reddy, software engineering
Soubhik Chakraborty,fail
Rasmus Ibsen-Jensen,Game theory
Tomasz Mazur, Saveetha Institute of Medical and Technical Sciences"
Sven Linker,"spatial logic, diagrammatic reasoning, visual reasoning, process algebra, temporal logic"
Martin Hilscher,"hybrid systems, logics"
Markus Kr√∂tzsch,"Artificial Intelligence, Information Systems, Knowledge Representation, Semantic Web"
Piotr Pokora,"Algebraic Geometry, Linear Series, Algebraic Surfaces, Curves, Combinatorics"
Arthur Cartel Foahom Gouabou,"Computer Vision, Medical Imaging, Deep Learning, Machine Learning"
Faouzi Hakimi,
Kenza Amzil,"Artificial intelligence, Bayesian networks, causality, Text mining"
Jan Otop,fail
Young Seok Ju,cancer mutation and somatic mosaicism
"Nour EL MADHOUN, Ph.D.", Smart Contract
Mihoc Tudor Dan,"Artificial intelligence, Game Theory, Evolutionary Computation, Quantum Computing, Education"
Karin Alfaro Bittner,
Khaldoun Al Agha,fail
Tristan Bilot,fail
Jose Miguel Puerta (ORCID:0000-0002-9164-5191),"Artificial Intelligence, Probabilistic Graphical Models, Evolutionary Computation, Bayesian Networks, Metaheuristics"
Jose A. G√°mez (ORCID: 0000-0003-1188-1117),"Bayesian networks, machine learning, data mining, preference learning, metaheuristics"
Fabiana Vinci,fail
Pablo Torrijos Arenas,"Machine learning, Bayesian networks, Classification, Federated learning"
ALBERT HELBERG,
Manuela Petrescu,fail
Simbarashe Aldrin Ngorima,"Deep Learning, Wireless Communications, Channel Estimation, Explainable AI (XAI)"
Estelle Pawlowski-Cherrier,fail
Chirag Kamal Ahuja,fail
Anil Kumar Singh,Farm√°cos e medicamentos
Fabrice Jeanne,fail
Eva E Chen (Èô≥‰ºäÊÖ?,"cognitive development, intergroup relations, culture, early childhood development, early childhood education"
Shyam Narayanan,fail
Alban Ponse,"Theoretical Computer Science, Process Algebra, Program and Thread Algebra, Short-Circuit Logic"
Jan Aldert Bergstra,"meadows, instruction sequences, decision taking, outsourcing"
Alberto Marcone,fail
Michael Ralston,fail
Ximeng Li,fail
Giovanna D'Agostino,fail
Lucy Pepin,fail
Leroux J√©r√¥me,fail
Frank Drewes,"Theoretical Computer Science, in particular Formal Language Theory, Natural Language Processing, Graph Transformation"
Jarred Wieser,fail
Mitchell Paukner,Survival Analysis
Viktor Larsson,"Computer Vision, Optimization, Machine Learning"
Haibin Wu,
Axel Brandt,fail
Yuqun Chen,fail
Sogol Jahanbekam,fail
Ruggero Pagnan,fail
Zoltan Esik,fail
Lareab Chaudhary,fail
Dipak Ghosh,Physics and Music
Sai-nan Zheng,fail
Susmita Bhaduri,"Physics, Music, Fractals"
Anirban Bhaduri,Computational Biology
Carl Leonardsson,fail
Stefanos Kaxiras,Computer Architecture
Yunyun Zhu,analytical chemistry and biochemistry
Hans-E. Porst,fail
Michael J. Ross,"nephrology, kidney, HIV"
Timothy Highley,
Daqing Yang,hydrology
Marcin Wolter,fail
Marcin Kucharczyk,fail
Xi Wu,fail
Jan Jurka,
Milosz Zdybal,fail
Davide Castelnovo,"Category theory, Mathematical Logic"
Marino Miculan,"programming languages, cybersecurity, formal methods, concurrency theory, category theory"
Yasuyuki Tsukamoto,fail
Daniel Quernheim,fail
Ivan Georgiev,"GPS, GNSS, geodesy, geodynamics, geodetic networks"
Werner Kuich,fail
Thomas Hanneforth,fail
Andreas Maletti,fail
Matthias Werner,
Peter Steinbach,"Machine Learning, Numerical Simulation, Data Science, Parallelisation"
Alex Kruckman,"Mathematical logic, Model theory"
Jakub Przyby≈Ço,fail
Honglian Xie,fail
Dr. Bhaskar HB,"Thermal Power Engineering, Metal Matrix Composites."
Naoki Hayashi,
Robert S. Lubarsky,fail
Ryu Hasegawa,fail
P√©ter Batty√°nyi,"Mathematical Logic, Artificial Intelligence, Complexity Theory, Formal Methods for Program Correctness"
Jacques Sakarovitch,fail
David J. Reutter,fail
Shigeki Akiyama,number theory and ergodic theory
Cyril Nicaud,fail
Oothan Nweit,fail
Philippe Duchon,fail
Florent Koechlin,fail
Brendan D. McKay,fail
Heidi Van den Camp,fail
Lily Li Liu,fail
Andrew A Swan,livestock genetics
M. N. Nazarov,fail
"Ioannis Michos, PhD",Membrane Technology
Christine Savvidou,Second language teacher education
Andrzej Rucinski,
Andrzej Dudek,Combinatorics
Hannes Diener,
Matthew Hendtlass,fail
Marko Malikoviƒá,"Internet based research, Formal systems, Automated proving theorems, Programming languages"
Filip Mariƒá,
Carolyn L. Talcott,fail
Predrag Janicic,"Automated reasoning, automated deduction in geometry, SAT/SMT, mathematical software"
Dominique Lecomte,fail
Sumio Watanabe,"algebraic geometry, probability theory, mathematical statistics"
Ian A. Mason,"Logic, Computer Science, Formal Methods"
Harrison Grodin,"type theory, programming languages, logic, category theory"
C. B. Aberl√©,fail
Mehmet Fatih Amasyali,fail
Ian Price,Astronomical Instrumentation
G√ºls√ºm Yiƒüit,"Natural Language Processing, Large Language Models, Curriculum Learning, Computer Vision"
Mohsen Alambardar Meybodi,"Algorithms, Computational Complexity, Machine Learning"
Abolfazl Poureidi,Algorithms
Thomas Ilsche,"High Performance Computing, Energy Efficient Computing, Parallel Programming, Performance Analysis"
Niu Guo-yue ÁâõÂõΩË∑?"Dept. of Hydrology and Atmospheric Sciences,"Hydrometeorology, Ecohydrology, Distributed hydrological modeling & reactive ‚Ä? Land surface"
Ramkumar Nagappan,fail
Kellen Funk,"Anglo-American Legal History, American Religious History"
Robert Sch√∂ne,"High Performance Computing, Energy Efficient Computing, Computer Architecture, Parallel Programming, Performance Analysis"
Daniel Hackenberg,"High Performance Computing, Energy Efficient Computing, Data Center Cooling"
Joseph Schuchart,"High Performance Computing, Computer Science, Distributed Computing, Performance Tools, PGAS"
Dianxuan Gong,fail
Moses Ganardi,
Kurt-Ulrich Witt,fail
Samuel Regan,fail
Ulrich Gille√üen,fail
Christoph Spandl,fail
Alexander B√ºchel,fail
Nata≈°a ≈Ωiviƒá,
Peter Hertling,fail
"Lazar Berbakov, PhD","Wireless Communications, Cooperative Communications"
Ivica Milosavljeviƒá,fail
Vladimir Krstiƒá,"nuklearna fizika, biofizika"
Milutin Ceroviƒá,fail
Ned Porter,"organic chemistry, chemical biology"
Luka Lopu≈°ina,fail
Emanuel Kieronski,"Theoretical Computer Science, Logic in Computer Science"
Oskar Fiuk,fail
Robert Harper,programming languages
Ond≈ôej Kl√≠ma,medical imaging
Jaap van Oosten,"Logic, Foundations of Mathematics, Topos Theory"
Jorge Sanchez Almeida,"Galaxy formation and evolution, Astronomical Polarimetry, Solar Physics"
Shoujun Xu (Shou-Jun Xu),mathematics
Xiao-Lu Gao,fail
Ludwig Staiger,"Theoretical computer science, automata theory, algorithmic information theory, effective fractal dimensions"
Yuguo He,fail
Jinge Li,fail
M. Silimbani,fail
N. Castronuovo,fail
Francesca Bonetti,"Marketing, Marketing Strategy, Technology Innovation, Market-oriented Practices, Retailing"
Pavel S. Ruzankin,fail
Mauro Bernabei,dendrocronologia
Matƒõj Dost√°l,fail
Marta Bilkova,"Logic, Computer Science"
Henk P. Barendregt,fail
Frank Ingram,fail
Huaming Zhang,
Shen-En Chen,"remote sensing, carbon sequestration, oil, petroleum, fuel"
Emily AW Nadeau,"precision medicine, variant interpretation, computational oncology, gastroenterology"
Yongwu Rong,low dimensional topology
Xiao-Ling Zhao,"Civil Engineering, Structural Engineering, Thin-Walled Structures, Steel-Concrete Composite Structures, FRP"
Christian AL Bean,"Clinical Psychology, Depression, Anxiety, Emotion Regulation, Intensive Longitudinal Data"
Pavel Avdeyev,"bioinformatics, computational biology, genomics, machine learning"
Chris Blondia,fail
Tatiana Gaintseva,"foundation models, interpretability, representation engineering"
Sergey Aganezov,"bioinformatics, algorithms, graph theory, biology"
Jeremy Van den Eynde,
Alexey O. Zakharov,fail
Jean A. Guillaume,fail
Jose Agustin Vallejo-Borda,"Discrete choice models, Built environment, Econometrics, Travel behaviour, Nonmotorized"
Fatemeh Ghasemi,Nursing
Setsuo Takato,fail
Mahsa Zarneshan,fail
Klaus Reinhardt,"Evolutionary biology, Sperm biology, Sexual conflict, Entomology, Mito-nuclear"
Mika Hirvensalo,"Quantum Computing, Theoretical Computer Science, Discrete Mathematics"
G. Michele Pinna,theoretical computer science
Philippe Queinnec,
G√∂kalp Demirci,"computer science, theoretical computer science, machine learning"
Hurault Aur√©lie,
Mohamed El Merouani, Statistique
Zdenƒõk Sawa,"verification, concurrency, automata theory"
Adam Shimi,fail
Fatima Zahra Yamani,fail
Petr Osiƒçka,"Data mining, fuzzy logic, algorithms"
Samuel Balco,fail
Kenjiro Takazawa,"Combinatorial Optimization, Matroid Theory, Algorithmic Game Theory"
Jean-Marie Madiot,"Computer Science, Logic, Concurrency"
Csaba B√©la E√∂tv√∂s,"forest ecology, predation activity, insectivory, ecosystem services, canopy"
Asma Guedidi,"diagnosis, signal processing"
Judit Nagy-Gy√∂rgy,"combinatorics, online algorithms"
Mohamed Abdel Hameed El-Hawy,fail
Koushik Sai Veerella,fail
Saurabh S. Kulkarni,Respiratory Biology
Harish Neelam,"Data Science, Statistical Genetics, Health Informatics, Computational Precision Health"
Ajay Kulkarni,"Artificial Intelligence, AI Assurance, Intelligent Water Systems, Data Science"
Maciej Zyrek,fail
Andr√©s Viso,fail
M√°t√© Vizer,fail
Eduardo Bonelli,Foundations of Programming Languages
D√°niel Gerbner,"Combinatorics, Search Theory"
John Hatcliff, software engineering
Marjan Sirjani,"Concurrency Theory, Software Engineering, Formal Methods, Model Checking, Software Analysis"
M. Clarence Protin,fail
Ehsan Khamespanah,"Formal Methods, Software Architecture"
Hadi Alizadeh Noughabi,"Information theory, Nonparametric Statistics, Goodness of fit tests"
ulrike brandt-bohne,
Les R. Foulds,fail
Hermann K. -G. Walter,fail
Nils K√∂pp,fail
√ârica Pergo Coelho,Bioqu√≠mica e Estresse Oxidativo de Plantas
Humberto J. Longo,Algoritmos e otimiza√ß√£o
M√°rcia R. Cappelle,fail
Giovanni Rosso,Mathematics
Jesse Racicot,fail
Benjamin R. Jones,"leadership, teams, education"
Avgerinos Delkos,fail
Viacheslav Vyshegorodtsev,fail
Dmitrii Galimzianov,fail
Widad LAALA,diagnostique
Luc Devroye,Probabilistic analysis of algorithms
Anna M. Brandenberger,fail
Alessandro Aldini,"theoretical computer science, concurrency theory, software verification, security and trust"
Andrea Esposito,"Polymer Physics, Chromatin folding, Machine Learning, Complex Systems"
Christopher Keith,Experimental Nuclear Physics
√ñZG√úR AKG√úN KARABULUT,
Sarah Ruth Hoffman,Pharmacoepidemiology
Erik Lentz,
Emily Ellwein,fail
Oscar A L√≥pez,Ingenieria Sismica
Andrew NJ McKenzie,Immunology
Sandra Ileana P√©rez √Ålvarez, braquiterapia"
Thad Boydston,fail
Sarah Winter,"human rights, slavery and abolition, Victorian literature"
Maruf Ahmed Mridul,
Audun Myers,"Data Modeling, Topological Data Analysis, Signal Processing"
William DiGuiseppi,"environmental science, hydrogeology, PFAS, chlorinated solvents"
Sadique Ahmmod Rifat,fail
Tirtha Roy Biswas,"Computational hydraulics, Computational Fluid Dynamics, Hydraulic structures, Open channel flow"
Arnab Sen Sharma,"Machine Learning, Natural Language Processing, Interpretable AI"
Aaron Slobodin,fail
Wendy Myrvold,"Graph Algorithms, Topological Graph Theory, Combinatorial Algorithms, Network Reliability, Combinatorial Search"
Dr Sabrina Helena Rossi,
Michael Pate,
Maryline Laurent,"network security and privacy, including clouds, miniaturized systems (RFID, sensors), social networks and identity management"
Paul Marillonnet,fail
Yunus emre demirci,
Christian Rae Salvacion,
Juris Smotrovs,"kvantu skaitƒºo≈°ana, B≈´la funkciju izpƒìte, ma≈°ƒ´nmƒÅcƒ´≈°anƒÅs"
Altar √ái√ßeksiz,fail
Rosie Y. Zhao,fail
Manoj Muniswamaiah,fail
Marcel K. Goh,combinatorics
Tilak Agerwala,fail
Graeme J. Hankey,"Stroke prevention, treatment, epidemiology, clinical trials"
Xavier Pint√≥ Sala,"Metabolismo lip√≠dico, Factores de Riesgo Cardiovascular, Prevenci√≥n, Dieta Mediterr√°nea, Esteatosis."
Laura Bozzelli,Theoretical computer science
Luc Pellissier,fail
Andrea Montanari,"statistics, machine learning, probability theory, information theory, signal processing"
Aurore Alcolei,fail
Tianhan Wang,"Magnetic Imaging, Resonant X-ray Scattering, Ultrafast magnetism"
Hannah Swickheimer,fail
Matthias Beck,"Combinatorics, Discrete Geometry, Analytic Number Theory"
Laszlo Tihanyi,"strategic management, international business, corporate governance, emerging economies"
Mahdi Modhaffar,fail
Sampada Kolhatkar,fail
Lucas Pastor,"Th√©orie des graphes, Combinatoire, Math√©matiques discr√®tes, Informatique"
Caroline Brosse,fail
Davide Trotta,"categorical logic, theoretical computer science"
Dan Ventura,"Computational Creativity, Machine Learning, Artificial Intelligence"
Kexu Wang,fail
Lo√Øc Peyrot,fail
Xishun Zhao,fail
Douglas Suth Bridges,fail
Bineet Ghosh,"Trustworthy Autonomy, Formal Methods, Safe Robotics, Cyber-Physical Systems, Controls"
Prosenjit Ghosh,Geochemistry
Werner Schachinger,
Mark Daniel Ward,"Probabilistic, combinatorial, and analytic techniques for the analysis of ‚Ä?
Eduardo Adam Navas-L√≥pez,Universidad de El Salvador,inform√°tica"
Tapas Kumar Samanta,"Fuzzy Set, Rough Set, Soft Set, Complex Analysis, Functional Analysis"
Guy Louchard,fail
Richard C. Brewster,Chemical Biology
Arnott Kidner,"Graph theory, complexity theory, reconfiguration"
Liping Zhang,Decadal climate variability and predictability
Weicheng ZhouÔºàÂë®Áª¥ÊàêÔº?Xiangnan University,
Charles C Tappert,"Biometrics, Pattern Recognition, Education, Data Mining"
Mengjie Jing,
Hualin Miao,fail
Gary MacGillivray,fail
Christopher Duffy,environment
Agata Jastrzƒôbowska,"postawy komunikacyjne, kapita≈Ç psychologiczny"
Pawe≈Ç Sochaczewski,neural simulations
Izabela Grabowska,"labour migration, EU mobility, return migration, social remittances, skills and migration"
Luciano Margara,algorithms
Tim Gerrits,Visualization
Torsten Wolfgang Kuhlen,"Virtual Reality, Visual Computing, Visualization"
Dirk Norbert Baker,"Computer Vision, Artificial Neural Networks, Synthetic Ground Truth, Visualization, Optimization"
Joachim Protze,fail
Ali Can Demiralp,Scientific Visualization
Manlio Valenti,"computabilty theory, computable analysis"
Zhaorong He,fail
Huarong Zheng,"Ocean robotics, predictive control, cooperative control"
John Frith,fail
Xiangping Chu,
Anneliese Schauerte,fail
Huijun Hou,fail
Qingguo LiÔºàÊùéÂ∫ÜÂõΩÔº?Hunan University,
Yulin Li,
Xiaojun Ruan,"Cloud Computing, Energy-Efficient Computing, Storage Systems, Computer Security, Parallel and Distributed Computing"
Jun-Ming LIU,"condensed matter physics, materials science"
Xiaodong Jia,"Simulations of particulate systems, packing, structure-property relationships, tomography."
Hongchao KOU,Adcanced Metal Materials
Xiaoliang Sunney Xie,"Single molecule biophysical chemistry, Single molecule enzymology, Coherent Raman scattering microscopy, Gene expression, Single"
Yinglong Song,fail
Zhiyong Lu,"BioNLP, Biomedical Informatics, Medical AI, Artificial Intelligence"
jinbo yang,magnetic materials
"Mohammad A-Haddad, MD",
Sebastian Czerwi≈Ñski,fail
Dhannya SM,"Analysis of algorithms, Hardness of combinatorial problems, Approximation algorithms, Optimal algorithms, Graph Algorithms"
Nisha KK,"Biotechnology, Botany"
Narayanaswamy NS,Theoretical Computer Science
Stephan Dominique Andres,fail
Wai Fung Lam,"Institutional Analysis, Commons, Policy Analysis, Water Governance, Hong Kong"
Blai Bonet (ORCID: 0000-0001-8212-7408),"Computer Science, Artificial Intelligence, Automated Planning"
Nerio Borges,
Tobias Hofmann,"Theoretical Physics, Condensed Matter Physics, Topological Metamaterials, Quantum Physics"
Mateusz Pyzik,fail
Frank G√∂ring,fail
√Ålvaro Garc√≠a-P√©rez,Distributed systems and blockchain ‚Ä?
Eduard Huntingford,fail
Maric√™ Nogueira de Oliveira,"Food Technology, Fermented Milk, Probiotics"
Christoph Wernhard,fail
Zhongqiang Yang,fail
Luis Bargu√±√≥ Jan√©,
